Season,PA,wRC_Plus,BB_Rate,K_Rate,O_Swing_Rate,Z_Swing_Rate,Swing_Rate,MLBAMID
2017,695,93.68708394,0.035971223,0.133812949,0.3656,0.6781,0.5219,543829
2018,216,51.46324482,0.050925925,0.222222222,0.354,0.7441,0.5215,434658
2021,538,104.1309396,0.066914498,0.180297397,0.3464,0.745,0.5215,643217
2018,635,105.0532635,0.077165354,0.162204724,0.3703,0.7363,0.5214,519058
2018,594,93.07867831,0.084175084,0.205387205,0.3262,0.7777,0.5212,543063
2019,397,84.21430124,0.042821158,0.103274559,0.3752,0.7278,0.521,466320
2019,413,111.3666156,0.06779661,0.266343825,0.3794,0.7325,0.5209,621311
2020,234,153.0123066,0.072649572,0.23076923,0.3327,0.8123,0.5209,572228
2020,216,118.316322,0.078703703,0.296296296,0.4244,0.6695,0.5207,600524
2021,259,154.2314257,0.061776061,0.158301158,0.3873,0.7201,0.5207,643524
2016,630,91.70665335,0.063492063,0.168253968,0.3443,0.7436,0.5203,596748
2020,204,88.12090453,0.083333333,0.225490196,0.3181,0.7721,0.5203,547004
2017,648,111.7773615,0.075617283,0.131172839,0.3492,0.7326,0.5201,429664
2017,458,78.86084838,0.043668122,0.172489082,0.4129,0.6529,0.5201,541650
2016,610,121.7588219,0.068852459,0.272131147,0.3125,0.7669,0.5199,501981
2018,490,90.23719218,0.07755102,0.246938775,0.3725,0.7371,0.5197,646240
2017,425,110.7599121,0.089411764,0.178823529,0.3803,0.6993,0.5194,460075
2017,632,86.36879824,0.052215189,0.150316455,0.4006,0.6704,0.5194,607680
2017,295,40.49898925,0.07118644,0.369491525,0.3184,0.7428,0.5191,457787
2019,692,137.3814782,0.125722543,0.183526011,0.3288,0.826,0.5191,518692
2020,250,107.8521258,0.048,0.164,0.38,0.7319,0.5191,516782
2019,420,86.71479423,0.05,0.323809523,0.3642,0.7264,0.519,641525
2016,308,41.54390006,0.048701298,0.188311688,0.295,0.7476,0.5189,605113
2019,533,81.10142059,0.088180112,0.2739212,0.3067,0.8224,0.5189,501981
2020,237,75.67239361,0.092827004,0.248945147,0.3422,0.7724,0.5189,502110
2020,203,125.1272583,0.049261083,0.192118226,0.3869,0.7105,0.5188,456781
2021,595,131.8329357,0.060504201,0.248739495,0.3435,0.7702,0.5188,606192
2020,223,105.0904079,0.058295964,0.183856502,0.4105,0.6638,0.5187,607680
2019,309,105.1992294,0.064724919,0.116504854,0.3241,0.7542,0.5185,435559
2021,493,84.26580384,0.064908722,0.227180527,0.3803,0.7241,0.5184,642086
2016,373,99.05533425,0.050938337,0.209115281,0.3467,0.7081,0.5183,445055
2021,229,78.6203997,0.074235807,0.231441048,0.3119,0.7724,0.5183,518595
2016,368,101.446843,0.065217391,0.201086956,0.3058,0.7721,0.5182,624577
2019,604,125.0068796,0.079470198,0.213576158,0.3509,0.7631,0.5182,650402
2020,243,109.5491655,0.0781893,0.205761316,0.3551,0.7519,0.5182,572233
2016,564,134.455429,0.081560283,0.173758865,0.3622,0.7444,0.5181,460075
2020,231,107.5864273,0.056277056,0.212121212,0.373,0.7265,0.5181,545341
2016,282,100.4065611,0.067375886,0.209219858,0.3362,0.7562,0.5179,594988
2018,465,104.9469165,0.062365591,0.133333333,0.3538,0.7389,0.5179,596748
2019,405,97.12608159,0.04691358,0.212345679,0.4016,0.6991,0.5178,623993
2016,589,110.755853,0.074702886,0.213921901,0.3303,0.7728,0.5176,457803
2019,244,1.727230091,0.061475409,0.356557377,0.3748,0.6919,0.5176,425772
2020,242,98.13650808,0.078512396,0.285123966,0.3816,0.7486,0.5176,592206
2016,466,85.81082149,0.042918454,0.186695278,0.3578,0.6881,0.5174,572008
2017,362,107.1957354,0.046961325,0.14917127,0.3418,0.7182,0.5174,527038
2021,241,112.8660857,0.087136929,0.307053941,0.3298,0.7805,0.5171,572228
2016,610,93.21604581,0.039344262,0.193442622,0.3644,0.6918,0.5169,516770
2020,231,112.3913258,0.082251082,0.147186147,0.4265,0.6901,0.5169,592696
2018,597,95.98806364,0.063651591,0.204355108,0.3956,0.6889,0.5168,546318
2017,309,98.95997557,0.058252427,0.297734627,0.3173,0.7441,0.5167,640461
2019,655,100.7470306,0.047328244,0.189312977,0.3807,0.7178,0.5166,642708
2018,206,56.53391679,0.048543689,0.203883495,0.4038,0.6857,0.5165,500135
2019,382,95.97914658,0.081151832,0.332460732,0.3528,0.7579,0.5164,656308
2019,363,62.39636875,0.044077134,0.170798898,0.4122,0.679,0.5163,546991
2019,370,87.13216444,0.054054054,0.237837837,0.3165,0.7784,0.5162,640461
2016,632,109.7963586,0.07278481,0.204113924,0.3644,0.744,0.516,471865
2017,203,51.19185598,0.068965517,0.30049261,0.3511,0.6828,0.516,425772
2017,200,51.74651966,0.055,0.19,0.291,0.7712,0.5159,553869
2017,443,123.0513924,0.047404063,0.279909706,0.3362,0.723,0.5159,657557
2021,549,139.6778412,0.102003642,0.19125683,0.3206,0.7952,0.5159,543063
2016,695,120.5824201,0.067625899,0.179856115,0.3967,0.6931,0.5157,547989
2017,247,65.59177265,0.048582995,0.202429149,0.3376,0.7119,0.5156,595375
2021,438,91.54291481,0.052511415,0.230593607,0.3673,0.7201,0.5155,623993
