season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2020,Teoscar Hernández,TOR,207,0.918753193,0.383908975,,141.7852265,0.06763285,74.73275938,0.304347826,128.1092316,0.3428,0.6369,0.4643,Teoscar Hernandez,13066,606192
2021,Luis Marté,MIA,7,0.452380951,0.224396007,,36.35124699,0.142857142,155.5261414,0.285714285,128.1109331,0.3889,0.6,0.4643,Luis Marte,14515,606336
2022,Mickey McDonald,OAK,6,0.333333333,0.229581336,,49.6854758,0.333333333,418.7409949,0.5,225.0437755,0.3529,0.6364,0.4643,Mickey McDonald,20533,676782
2017,Mitch Moreland,BOS,576,0.769302273,0.325648996,,97.54394453,0.098958333,117.4931084,0.208333333,97.83617401,0.3019,0.6933,0.4642,Mitch Moreland,3086,519048
2021,Kyle Garlick,MIN,107,0.745020295,0.314285836,,100.0669967,0.056074766,66.16148074,0.29906542,130.7258386,0.2773,0.6923,0.4642,Kyle Garlick,18063,664247
2021,Chas McCormick,HOU,320,0.765933098,0.326522875,,107.9092911,0.078125,92.17810526,0.325,142.0622202,0.2821,0.6937,0.4642,Chas McCormick,19599,676801
2022,Kevin Plawecki,- - -,186,0.572200771,0.259429782,,60.16912158,0.075268817,94.55441829,0.17204301,77.43441735,0.3241,0.6469,0.4642,Kevin Plawecki,13807,608700
2023,Ji Man Choi,- - -,117,0.623931623,0.266868816,,64.95999312,0.085470085,96.99261388,0.299145299,134.041282,0.2884,0.7475,0.4642,Ji Man Choi,5452,596847
2017,Phil Gosselin,- - -,50,0.3675,0.164673458,,-7.819727132,0.04,44.45793082,0.24,113.8800871,0.3452,0.567,0.4641,Phil Gosselin,10953,594838
2019,Tim Lopes,SEA,128,0.71973536,0.317665268,,101.2700905,0.1171875,137.8373198,0.2265625,99.08876809,0.3321,0.6176,0.4641,Tim Lopes,14137,621005
2021,David Peralta,ARI,538,0.727742875,0.314167346,,94.91067592,0.085501858,93.08441898,0.171003717,76.67606034,0.3048,0.6765,0.4641,David Peralta,2136,444482
2021,Anthony Rizzo,- - -,576,0.783266129,0.338893283,,113.9426493,0.090277777,100.8171241,0.151041666,67.17728181,0.3289,0.6473,0.4641,Anthony Rizzo,3473,519203
